"id","zip_code","name_th","name_en","amphure_id","created_at","updated_at","deleted_at"
"120403","11110","บางรักใหญ่","Bang Rak Yai","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120404","11110","บางคูรัด","Bang Khu Rat","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120405","11110","ละหาร","Lahan","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120406","11110","ลำโพ","Lam Pho","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120407","11110","พิมลราช","Phimon Rat","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120408","11110","บางรักพัฒนา","Bang Rak Phatthana","61","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120501","11150","ไทรน้อย","Sai Noi","62","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120502","11150","ราษฎร์นิยม","Rat Niyom","62","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120503","11150","หนองเพรางาย","Nong Phrao Ngai","62","9/8/2019 03:33:09","9/8/2019 03:33:09",
"120504","11150","ไทรใหญ่","Sai Yai","62","9/8/2019 03:33:09","9/8/2019 03:33:09",
